10.0.1.1,10.0.4.8,224690,2.000153556
10.0.2.4,10.0.4.8,595,2.000238338
10.0.1.1,10.0.4.8,338,2.001925121
10.0.2.4,10.0.3.6,348,2.004961490
10.0.2.4,10.0.3.5,538,2.005574441
10.0.1.1,10.0.3.6,266782,2.009026817
10.0.4.8,10.0.2.3,512,2.010005720
10.0.1.2,10.0.3.5,421047,2.010800096
10.0.2.4,10.0.1.1,98117,2.010837303
10.0.2.4,10.0.2.3,1128,2.010871203
10.0.4.8,10.0.4.7,454,2.010927142
10.0.2.3,10.0.3.5,217,2.013729809
10.0.3.6,10.0.4.7,357,2.015023559
10.0.3.5,10.0.1.2,301,2.015669798
10.0.3.5,10.0.1.1,951,2.015761251
10.0.2.3,10.0.1.2,201,2.018289718
10.0.4.7,10.0.2.3,314,2.019610585
10.0.2.4,10.0.2.3,39243,2.022807748
10.0.4.7,10.0.1.1,940,2.024662625
10.0.4.7,10.0.4.8,996,2.024819973
10.0.2.3,10.0.2.4,881,2.025536616
10.0.4.8,10.0.1.2,321,2.026260990
10.0.1.2,10.0.3.6,457,2.026413167
10.0.1.1,10.0.4.8,938,2.026571172
10.0.3.6,10.0.1.1,8805023,2.026871158
10.0.3.6,10.0.1.2,38414,2.029364406
10.0.4.8,10.0.2.4,725039,2.029414507
10.0.3.5,10.0.1.2,35633,2.029967454
10.0.4.7,10.0.1.2,1620675,2.030944653
10.0.2.4,10.0.1.1,68202,2.030961455
10.0.4.8,10.0.4.7,317768,2.032013965
10.0.4.7,10.0.1.1,293,2.033164190
10.0.1.2,10.0.4.7,313,2.034290584
10.0.4.8,10.0.1.2,363,2.035835388
10.0.2.4,10.0.3.5,76631,2.036675334
10.0.1.2,10.0.2.4,337,2.036898478
10.0.4.7,10.0.3.6,797,2.038742425
10.0.1.2,10.0.2.4,36420,2.040334828
10.0.2.4,10.0.3.5,611,2.042600080
10.0.4.8,10.0.1.2,913,2.043518758
10.0.1.2,10.0.3.6,4793,2.044715251
10.0.1.1,10.0.1.2,911,2.045523881
10.0.4.8,10.0.2.3,1435029,2.046841012
10.0.4.7,10.0.1.1,108052,2.047167778
10.0.4.8,10.0.3.5,40698,2.048138562
10.0.1.2,10.0.3.6,539,2.048158315
10.0.4.8,10.0.2.4,259,2.048415021
10.0.2.4,10.0.4.7,42044,2.048845266
10.0.1.1,10.0.2.3,314,2.049676850
10.0.2.4,10.0.3.6,963,2.053820330
10.0.4.7,10.0.2.3,277,2.054298522
10.0.2.4,10.0.2.3,41433,2.058875508
10.0.3.5,10.0.4.8,861,2.060597594
10.0.2.4,10.0.1.1,100636,2.063193651
10.0.3.5,10.0.4.7,281377,2.063581112
10.0.2.3,10.0.1.2,698,2.063938159
10.0.1.1,10.0.3.6,347,2.065884225
10.0.1.1,10.0.2.3,5440,2.066517328
10.0.3.5,10.0.2.4,382,2.068203978
10.0.3.5,10.0.2.3,55883,2.068839775
10.0.2.3,10.0.1.2,255511,2.069276617
10.0.4.7,10.0.1.2,131840,2.070498818
10.0.3.5,10.0.2.4,418,2.071521644
10.0.1.1,10.0.2.4,42704,2.072331373
10.0.2.3,10.0.4.7,320,2.077002204
10.0.2.4,10.0.1.2,967,2.078527216
10.0.1.2,10.0.4.7,606,2.078551152
10.0.3.5,10.0.2.4,3039,2.079215182
